depth,density,caliper,mag_suscep,scaler_tmi,total_gamma,lithology
333.0,2.39552380952381,,,,,polymict_lithic_breccia
334.5,2.4360357142857145,,,,,polymict_lithic_breccia
335.0,2.2509700859077,98.5975199672142,1.1470407336259116,-9444.710427758782,51.55478686002081,polymict_lithic_breccia
335.5,2.2512856473423177,98.71021414821145,1.3358401114747391,-7283.171499696233,51.182250059856436,polymict_lithic_breccia
336.0,2.251601818609458,98.82066281859818,1.3357727962106383,-5375.88946022729,50.840795665620746,polymict_lithic_breccia
336.5,2.398940476190477,98.92886597837426,1.335708995125374,-3722.8643093519486,50.53042367731371,polymict_lithic_breccia
337.0,2.252235990641306,99.03482362753975,1.100773903936484,-2324.096047070213,50.25113409493534,polymict_lithic_breccia
337.5,2.318404761904762,99.13853576609468,1.3355919354913568,-1179.5846733820836,50.00292691848564,polymict_lithic_breccia
338.0,2.2528726020032463,99.24000239403898,1.3355386769426032,-289.33018828755786,49.78580214796461,polymict_lithic_breccia
338.5,2.257392857142858,99.33922351137265,1.0878198572135136,346.66740821336333,49.59975978337223,polymict_lithic_breccia
339.0,2.253511652695277,99.4361991180958,1.3354427023816071,728.4368878571804,49.44479982470854,polymict_lithic_breccia
339.5,2.2538320927900775,99.5309292142083,1.3353999863693644,855.8919354343897,49.320922271973515,polymict_lithic_breccia
340.0,2.229571428571429,99.62341379971022,1.1057991089593964,728.7192142264648,50.45328818545738,polymict_lithic_breccia
340.5,2.254474802477245,99.71365287460151,1.3353250968813892,314.54643048846265,49.16641438428944,polymict_lithic_breccia
341.0,2.254797072069613,99.80164643888223,1.1403681931815814,-471.0172811622045,47.99047128243353,polymict_lithic_breccia
341.5,2.255119951494504,99.88739449255233,1.1884210228901897,-927.9719207255404,49.136236120320035,polymict_lithic_breccia
342.0,2.2554434407519177,100.479416909621,1.3352391189907034,-1213.5732758921113,49.16777059722834,polymict_lithic_breccia
342.5,2.1915000000000004,100.05215406806077,1.335217488051482,-1556.3174882015446,49.2303874800653,polymict_lithic_breccia
343.0,2.2560922487643142,100.13116558989907,1.209572920632878,-1748.4269705920558,49.32408676883093,polymict_lithic_breccia
343.5,2.2564175675192963,100.22437317784258,1.3351847687095495,-1822.6830067409755,48.35077799622599,polymict_lithic_breccia
344.0,2.256743496106801,100.28245210174391,1.3351736803068388,-1851.9068560255284,49.60473256414819,polymict_lithic_breccia
344.5,2.257070034526829,100.35472709175043,1.335166106082965,-1627.1249416176906,49.79167907069983,polymict_lithic_breccia
345.0,2.181738095238096,100.56443148688048,1.2644341820916236,-1026.9555457961214,50.46935675245328,polymict_lithic_breccia
345.5,2.257724940864453,100.4925405399317,1.3351615001717274,-583.9854723912649,50.258819301589085,polymict_lithic_breccia
346.0,2.1768571428571435,100.55807899810641,1.3881405674781349,-326.673219426837,50.539013025926714,polymict_lithic_breccia
346.5,2.2617857142857147,101.13827988338193,1.4774294752693478,-117.0553011132688,50.85028915619301,polymict_lithic_breccia
347.0,2.337928571428572,100.68241938262405,1.3351809476461476,-9.509832983422267,51.19264769238797,polymict_lithic_breccia
347.5,2.259042071529975,100.74122130896698,1.335194458495295,-21.790491279096447,51.532972283219664,polymict_lithic_breccia
348.0,2.2593728787776617,100.56443148688048,1.3352114835232793,-183.3643543788421,51.970611982563895,polymict_lithic_breccia
348.5,2.2597042958578726,100.85208862982104,1.4765133644934636,-454.56706471198777,52.40621773654486,polymict_lithic_breccia
349.0,2.356085714285715,100.90415402433219,1.3352560761157581,-559.0626051955454,54.35547787822844,polymict_lithic_breccia
349.5,2.2603689595158607,100.60693877551022,1.4623141096825862,-725.7697750451334,53.30099779820503,polymict_lithic_breccia
350.0,2.3101071428571434,101.00154828152266,1.3353147254235844,-1154.1718077949918,53.62081477770871,polymict_lithic_breccia
350.5,2.223714285714286,101.04687714420199,1.335349321345753,-1387.0376689665472,54.713312504790736,polymict_lithic_breccia
351.0,2.188571428571429,100.26688046647232,1.352181139555718,-1420.4996828185213,53.93562396997556,polymict_lithic_breccia
351.5,2.2617056048221116,101.13079833772888,1.3354290557266006,-1324.8100070418254,53.93061618273869,polymict_lithic_breccia
352.0,2.262041290729982,100.05434402332362,1.3676098871334228,-1153.6071550564266,51.723322999940194,polymict_lithic_breccia
352.5,2.2623775864703743,101.20573748881336,1.3355228468227958,-960.4604052520781,53.59577584152443,polymict_lithic_breccia
353.0,2.2627144920432896,101.23983879843969,1.3355750136391489,-943.7821974053804,53.265943287547024,polymict_lithic_breccia
353.5,2.263052007448728,101.27169459745544,1.437678957244105,-1238.8697185798628,52.43281203498947,polymict_lithic_breccia
354.0,2.165793650793652,101.30130488586059,1.335689889808365,-1460.0898523566789,52.28145341285167,polymict_lithic_breccia
354.5,2.2637288677571727,99.88431486880468,1.3357525991612285,-1538.5873922105784,51.626796092133716,polymict_lithic_breccia
355.0,2.206142857142858,101.35378893083909,1.4278809167662083,-1468.225003664208,50.863863849168915,polymict_lithic_breccia
355.5,2.2644081673957084,101.37666268741243,1.3882783076452454,-1291.9241228029841,49.99265668395727,polymict_lithic_breccia
356.0,2.264748731963761,101.39729093337519,1.3359618122928403,-1266.76356386501,50.149839477958096,polymict_lithic_breccia
356.5,2.254952380952381,101.45708454810496,1.3360385783610513,-1400.021610166532,47.92541758679343,polymict_lithic_breccia
357.0,2.265431690597434,102.47725947521867,1.3749138137128982,-1473.2921848530991,46.98247771434521,polymict_lithic_breccia
357.5,2.262078571428572,101.44570260759986,1.4344258857805974,-1452.0825926623002,45.6878779826333,polymict_lithic_breccia
